id,date
0,1994-05-18
1,1973-07-19
2,1966-07-18
3,1963-08-02
4,1987-12-23
5,1982-06-16
6,1981-06-30
7,1975-05-07
8,1973-12-10
9,1963-07-30
10,1972-12-06
11,1972-05-03
12,2005-07-08
13,2010-05-07
14,2011-11-18
15,2013-05-03
16,1994-03-16
17,1994-12-21
18,1997-02-04
19,1997-02-04
20,1997-02-04
21,1994-03-16
22,1994-12-21
23,1997-02-04
24,1997-02-04
25,1997-02-04
26,2004-05-07
27,1994-03-16
28,1994-12-21
29,1997-02-04
30,1997-02-04
31,1997-02-04
32,2004-05-07
33,1994-03-16
34,1994-12-21
35,1997-02-04
36,1997-02-04
37,1997-02-04
38,2004-05-07
39,1994-03-16
40,1994-12-21
41,1997-02-04
42,1997-02-04
43,1997-02-04
44,2004-05-07
45,1994-03-23
46,1994-07-06
47,2008-05-30
48,2009-04-03
49,2010-02-26
50,2010-02-26
51,2019-03-22
52,2020-09-18
53,2022-01-28
54,2023-06-23
55,2023-09-08
56,1994-02-02
57,1995-04-06
58,1989-02-24
59,1985-01-25
60,1997-02-03
61,1997-07-15
62,2009-04-30
63,2018-05-18
64,2018-05-18
65,2018-05-18
66,2018-05-18
67,2018-05-18
68,2018-05-18
69,2018-05-18
70,2018-05-18
71,2018-05-18
72,2018-05-18
73,2018-05-18
74,2018-05-18
75,2018-05-18
76,2018-05-18
77,2018-05-18
78,2018-05-18
79,2018-05-18
80,2018-05-18
81,2018-05-18
82,2018-05-18
83,2018-05-18
84,1994-02-02
85,1993-12-22
86,1992-12-18
87,1992-06-25
88,1994-07-20
89,1993-06-23
90,1992-10-08
91,1993-07-22
92,1992-07-23
93,1994-09-29
94,1992-12-18
95,1992-10-01
96,1970-12-10
97,1991-03-20
98,1995-01-11
99,1995-03-08
100,1995-04-06
101,1995-04-06
102,1988-09-21
103,1995-12-05
104,1995-12-22
105,1996-01-31
106,1985-01-25
107,1996-09-27
108,1996-12-20
109,1996-12-19
110,1996-12-19
111,1996-12-19
112,1997-02-04
113,1997-07-15
114,1998-02-06
115,1998-04-07
116,1998-07-24
117,1998-10-06
118,1998-11-12
119,1999-01-19
120,1999-03-23
121,1999-06-08
122,1999-07-09
123,1999-07-01
124,1999-07-01
125,1999-11-08
126,1999-12-09
127,2000-10-20
128,2000-12-13
129,2001-03-08
130,1968-12-27
131,1981-03-18
132,2001-05-18
133,2002-02-12
134,2003-07-18
135,1997-06-12
136,2003-10-03
137,1998-09-03
138,2003-12-04
139,2004-02-06
140,2004-03-01
141,2004-04-02
142,2004-06-03
143,2004-05-14
144,2004-07-09
145,2004-06-10
146,2005-12-09
147,2006-02-10
148,2007-02-02
149,2007-04-12
150,2007-06-29
151,2007-09-27
152,2008-07-30
153,2008-07-18
154,2008-11-07
155,2008-12-09
156,2010-10-22
157,2010-12-24
158,2011-10-06
159,1994-06-01
160,2012-02-01
161,2012-03-06
162,2012-07-06
163,2013-07-12
164,2013-10-18
165,2013-09-13
166,2014-05-16
167,2014-06-10
168,2017-01-13
169,2017-09-05
170,2018-02-07
171,2019-06-21
172,2020-02-10
173,2021-06-04
174,2022-03-18
175,2022-03-14
176,1994-02-02
177,1991-03-20
178,1994-09-29
179,1991-09-25
180,1991-07-24
181,1991-03-20
182,1991-04-03
183,1987-09-16
184,1997-01-17
185,1998-10-06
186,1999-03-23
187,2000-05-26
188,2005-06-24
189,1991-03-20
190,1994-05-30
191,1994-06-01
192,1991-10-30
193,1991-09-25
194,1991-05-03
195,1991-04-03
196,1995-04-05
197,1989-07-05
198,1989-07-12
199,1996-05-14
200,1996-11-19
201,1997-01-17
202,1996-12-19
203,1989-01-12
204,2001-07-13
205,2002-12-13
206,2003-01-17
207,2016-07-01
208,2020-12-04
209,2021-06-30
210,2021-07-09
211,1991-03-20
212,1994-05-30
213,1994-06-01
214,1993-12-15
215,1992-12-18
216,1994-12-21
217,1991-07-24
218,1986-12-23
219,1986-12-23
220,1991-03-20
221,1991-04-03
222,1989-12-20
223,1990-08-06
224,1989-09-06
225,1996-10-31
226,1997-01-17
227,1923-05-31
228,2002-03-29
229,2015-12-18
230,2017-12-22
231,2018-11-30
232,2024-03-08
233,1991-03-20
234,1994-05-30
235,1994-06-01
236,1993-12-15
237,1992-12-18
238,1994-12-21
239,1991-07-24
240,1986-12-23
241,1986-12-23
242,1991-03-20
243,1991-04-03
244,1989-12-20
245,1990-08-06
246,1989-09-06
247,1996-10-31
248,1997-01-17
249,2002-03-29
250,2016-12-14
251,1991-03-20
252,1994-05-30
253,1994-06-01
254,1993-12-15
255,1992-12-18
256,1994-12-21
257,1991-07-24
258,1986-12-23
259,1986-12-23
260,1991-03-20
261,1991-04-03
262,1989-12-20
263,1990-08-06
264,1989-09-06
