id,date,year,month,day
0,1994-05-18,1994,5,18
1,1973-07-19,1973,7,19
2,1966-07-18,1966,7,18
3,1963-08-02,1963,8,2
4,1987-12-23,1987,12,23
5,1982-06-16,1982,6,16
6,1981-06-30,1981,6,30
7,1975-05-07,1975,5,7
8,1973-12-10,1973,12,10
9,1963-07-30,1963,7,30
10,1972-12-06,1972,12,6
11,1972-05-03,1972,5,3
12,2005-07-08,2005,7,8
13,2010-05-07,2010,5,7
14,2011-11-18,2011,11,18
15,2013-05-03,2013,5,3
16,1994-03-16,1994,3,16
17,1994-12-21,1994,12,21
18,1997-02-04,1997,2,4
19,1997-02-04,1997,2,4
20,1997-02-04,1997,2,4
21,1994-03-16,1994,3,16
22,1994-12-21,1994,12,21
23,1997-02-04,1997,2,4
24,1997-02-04,1997,2,4
25,1997-02-04,1997,2,4
26,2004-05-07,2004,5,7
27,1994-03-16,1994,3,16
28,1994-12-21,1994,12,21
29,1997-02-04,1997,2,4
30,1997-02-04,1997,2,4
31,1997-02-04,1997,2,4
32,2004-05-07,2004,5,7
33,1994-03-16,1994,3,16
34,1994-12-21,1994,12,21
35,1997-02-04,1997,2,4
36,1997-02-04,1997,2,4
37,1997-02-04,1997,2,4
38,2004-05-07,2004,5,7
39,1994-03-16,1994,3,16
40,1994-12-21,1994,12,21
41,1997-02-04,1997,2,4
42,1997-02-04,1997,2,4
43,1997-02-04,1997,2,4
44,2004-05-07,2004,5,7
45,1994-03-23,1994,3,23
46,1994-07-06,1994,7,6
47,2008-05-30,2008,5,30
48,2009-04-03,2009,4,3
49,2010-02-26,2010,2,26
50,2010-02-26,2010,2,26
51,2019-03-22,2019,3,22
52,2020-09-18,2020,9,18
53,2022-01-28,2022,1,28
54,2023-06-23,2023,6,23
55,2023-09-08,2023,9,8
56,1994-02-02,1994,2,2
57,1995-04-06,1995,4,6
58,1989-02-24,1989,2,24
59,1985-01-25,1985,1,25
60,1997-02-03,1997,2,3
61,1997-07-15,1997,7,15
62,2009-04-30,2009,4,30
63,2018-05-18,2018,5,18
64,2018-05-18,2018,5,18
65,2018-05-18,2018,5,18
66,2018-05-18,2018,5,18
67,2018-05-18,2018,5,18
68,2018-05-18,2018,5,18
69,2018-05-18,2018,5,18
70,2018-05-18,2018,5,18
71,2018-05-18,2018,5,18
72,2018-05-18,2018,5,18
73,2018-05-18,2018,5,18
74,2018-05-18,2018,5,18
75,2018-05-18,2018,5,18
76,2018-05-18,2018,5,18
77,2018-05-18,2018,5,18
78,2018-05-18,2018,5,18
79,2018-05-18,2018,5,18
80,2018-05-18,2018,5,18
81,2018-05-18,2018,5,18
82,2018-05-18,2018,5,18
83,2018-05-18,2018,5,18
84,1994-02-02,1994,2,2
85,1993-12-22,1993,12,22
86,1992-12-18,1992,12,18
87,1992-06-25,1992,6,25
88,1994-07-20,1994,7,20
89,1993-06-23,1993,6,23
90,1992-10-08,1992,10,8
91,1993-07-22,1993,7,22
92,1992-07-23,1992,7,23
93,1994-09-29,1994,9,29
94,1992-12-18,1992,12,18
95,1992-10-01,1992,10,1
96,1970-12-10,1970,12,10
97,1991-03-20,1991,3,20
98,1995-01-11,1995,1,11
99,1995-03-08,1995,3,8
100,1995-04-06,1995,4,6
101,1995-04-06,1995,4,6
102,1988-09-21,1988,9,21
103,1995-12-05,1995,12,5
104,1995-12-22,1995,12,22
105,1996-01-31,1996,1,31
106,1985-01-25,1985,1,25
107,1996-09-27,1996,9,27
108,1996-12-20,1996,12,20
109,1996-12-19,1996,12,19
110,1996-12-19,1996,12,19
111,1996-12-19,1996,12,19
112,1997-02-04,1997,2,4
113,1997-07-15,1997,7,15
114,1998-02-06,1998,2,6
115,1998-04-07,1998,4,7
116,1998-07-24,1998,7,24
117,1998-10-06,1998,10,6
118,1998-11-12,1998,11,12
119,1999-01-19,1999,1,19
120,1999-03-23,1999,3,23
121,1999-06-08,1999,6,8
122,1999-07-09,1999,7,9
123,1999-07-01,1999,7,1
124,1999-07-01,1999,7,1
125,1999-11-08,1999,11,8
126,1999-12-09,1999,12,9
127,2000-10-20,2000,10,20
128,2000-12-13,2000,12,13
129,2001-03-08,2001,3,8
130,1968-12-27,1968,12,27
131,1981-03-18,1981,3,18
132,2001-05-18,2001,5,18
133,2002-02-12,2002,2,12
134,2003-07-18,2003,7,18
135,1997-06-12,1997,6,12
136,2003-10-03,2003,10,3
137,1998-09-03,1998,9,3
138,2003-12-04,2003,12,4
139,2004-02-06,2004,2,6
140,2004-03-01,2004,3,1
141,2004-04-02,2004,4,2
142,2004-06-03,2004,6,3
143,2004-05-14,2004,5,14
144,2004-07-09,2004,7,9
145,2004-06-10,2004,6,10
146,2005-12-09,2005,12,9
147,2006-02-10,2006,2,10
148,2007-02-02,2007,2,2
149,2007-04-12,2007,4,12
150,2007-06-29,2007,6,29
151,2007-09-27,2007,9,27
152,2008-07-30,2008,7,30
153,2008-07-18,2008,7,18
154,2008-11-07,2008,11,7
155,2008-12-09,2008,12,9
156,2010-10-22,2010,10,22
157,2010-12-24,2010,12,24
158,2011-10-06,2011,10,6
159,1994-06-01,1994,6,1
160,2012-02-01,2012,2,1
161,2012-03-06,2012,3,6
162,2012-07-06,2012,7,6
163,2013-07-12,2013,7,12
164,2013-10-18,2013,10,18
165,2013-09-13,2013,9,13
166,2014-05-16,2014,5,16
167,2014-06-10,2014,6,10
168,2017-01-13,2017,1,13
169,2017-09-05,2017,9,5
170,2018-02-07,2018,2,7
171,2019-06-21,2019,6,21
172,2020-02-10,2020,2,10
