ID,cluster,about,date,type,link,year,month,day
1020681,0,"tot wijziging van het besluit van de Vlaamse Regering van 18 februari 1997 tot vastlegging van de procedure voor de erkenning en sluiting van rust- en verzorgingstehuizen, psychiatrische verzorgingstehuizen, initiatieven van beschut wonen en samenwerkingsverbanden van psychiatrische instellingen en diensten",2011-07-22T00:00:00,Besluit van de Vlaamse Regering,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1020681,,,
1025619,1,"tot wijziging van het koninklijk besluit van 15 april 1958 houdende bezoldigingsregeling van het onderwijzend, wetenschappelijk en daarmee gelijkgesteld personeel van het Ministerie van Openbaar Onderwijs",1963-11-14T00:00:00,Koninklijk Besluit,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1025619,,,
1007876,2,tot wijziging van het besluit van de Vlaamse regering van 28 januari 1997 houdende statuut en organisatie van de Vlaamse wetenschappelijke instellingen en de regeling van de rechtspositie van het personeel inzake de functioneringsevaluatie,2001-02-02T00:00:00,Besluit van de Vlaamse Regering,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1007876,,,
1007865,3,"tot wijziging van het besluit van de Vlaamse regering van 4 februari 1997 betreffende de verplichte bijdragen bestemd voor de promotie en afzetbevordering van de Vlaamse producten van de sectoren landbouw, tuinbouw en visserij",2001-01-26T00:00:00,Besluit van de Vlaamse Regering,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1007865,,,
1039660,4,"tot wijziging van het Vlaams personeelsstatuut van 13 januari 2006, wat betreft de modernisering van het hr-beleid, uitstroom",2024-03-29T00:00:00,Besluit van de Vlaamse Regering,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1039660,,,
1025279,5,"houdende wijziging van het besluit van de Vlaamse Regering van 15 december 2000 houdende vaststelling van de voorwaarden van toekenning van een persoonlijke-assistentiebudget aan personen met een handicap, wat betreft de forfaitaire subsidie voor budgethoudersverenigingen",2015-03-27T00:00:00,Besluit van de Vlaamse Regering,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1025279,,,
1005487,6,[betreffende het lager onderwijs aan huis voor zieke kinderen],1997-06-17T00:00:00,Besluit van de Vlaamse Regering,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1005487,,,
1024224,7,houdende omzetting van richtlijn 2011/16/EU van de Raad van 16 februari 2011 betreffende de administratieve samenwerking op het gebied van de belastingen en tot intrekking van richtlijn 77/799/EEG,2013-08-17T00:00:00,Wet,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1024224,,,
1002867,8,tot uitvoering van het decreet van 16 juni 1982 houdende maatregelen voor een sociaal grondbeleid,1995-03-08T00:00:00,Besluit van de Vlaamse Regering,,,,
1002867,8,tot uitvoering van het decreet van 16 juni 1982 houdende maatregelen voor een sociaal grondbeleid,1995-03-08,Besluit van de Vlaamse Regering,,1995.0,3.0,8.0
1002867,8,tot uitvoering van het decreet van 16 juni 1982 houdende maatregelen voor een sociaal grondbeleid,1995-03-08,Besluit van de Vlaamse Regering,,1995.0,3.0,8.0
1026782,9,tot wijziging van het ministerieel besluit van 2 december 1982 houdende vaststelling van het programmacijfer voor rust- en verzorgingstehuizen,1998-02-04T00:00:00,Ministerieel besluit,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1026782,,,
1012112,8,houdende wijziging van het decreet van 3 maart 1976 tot bescherming van monumenten en stads- en dorpsgezichten,2003-11-21T00:00:00,Decreet,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1012112,,,
1026227,10,houdende de invoering van een nieuwe regeling voor de financiering van de Vlaamse Maatschappij voor Sociaal Wonen en het Vlaams Woningfonds,2015-12-11T00:00:00,Decreet,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1026227,,,
1025603,1,nr. 279 van 30 maart 1984 betreffende de betaling na vervallen termijn van de wedden van sommige personeelsleden van de openbare sector,1984-03-30T00:00:00,Genummerd koninklijk besluit,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1025603,,,
1033464,11,Bodembeheer tot het vaststellen van gronden gelegen in Blankenberge als site 'particuliere gronden met historische activiteiten in Blankenberge',2020-07-07,Besluit van het afdelingshoofd,,2020.0,7.0,7.0
1015851,4,tot wijziging van het besluit van de Vlaamse Regering van 5 maart 2004 inzake de bevordering van elektriciteitsopwekking uit hernieuwbare energiebronnen,2007-04-20T00:00:00,Besluit van de Vlaamse Regering,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1015851,,,
1002519,12,tot wijziging van het besluit van de Vlaamse regering van 17 april 1991 tot vaststelling van de voorwaarden waaronder sommige vastbenoemde ambtenaren van de vroegere Administratie voor Onderwijs en Permanente Vorming kunnen worden overgeplaatst naar de personeelsformatie van het Vlaams Instituut voor het Zelfstandig Ondernemen,1991-06-05T00:00:00,Besluit van de Vlaamse Regering,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1002519,,,
1000470,6,getroffen ter uitvoering van het koninklijk besluit d.d. 22 november 1939 tot regeling van het voeren van de titel en van het uitoefenen van het beroep van mijnmeter,1939-12-04T00:00:00,Ministerieel besluit (Federaal),https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1000470,,,
1021251,13,"tussen de Regering en de Vlaamse Executieve, de Waalse Gewestexecutieve en de Executieve van het Brusselse Gewest betreffende de regeling van de schulden van het verleden en de ermede verband houdende lasten inzake sociale huisvesting",1987-05-04T00:00:00,Samenwerkingsakkoord,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1021251,,,
1013500,6,betreffende het tijdelijk project zorgondersteuning in de centra voor leerlingenbegeleiding,2004-03-05T00:00:00,Besluit van de Vlaamse Regering,,,,
1013500,6,betreffende het tijdelijk project zorgondersteuning in de centra voor leerlingenbegeleiding,2004-03-05,Besluit van de Vlaamse Regering,,2004.0,3.0,5.0
1013500,6,betreffende het tijdelijk project zorgondersteuning in de centra voor leerlingenbegeleiding,2004-03-05,Besluit van de Vlaamse Regering,,2004.0,3.0,5.0
1013500,6,betreffende het tijdelijk project zorgondersteuning in de centra voor leerlingenbegeleiding,2004-03-05,Besluit van de Vlaamse Regering,,2004.0,3.0,5.0
1014685,8,tot wijziging van het decreet van 22 februari 1995 betreffende de bodemsanering ,2006-06-16T00:00:00,Decreet,https://codex.opendata.api.vlaanderen.be/api/WetgevingDocument/1014685,,,
1002077,14,"betreffende het verlof dat aan de personeelsleden van het onderwijs en de psycho-medisch-sociale centra wordt verleend voor het verrichten van bepaalde prestaties ten behoeve van in de wetgevende vergaderingen van de Staat en van de Gemeenschappen of de Gewesten erkende politieke groepen, respectievelijk ten behoeve van de voorzitters van die groepen",1991-12-19T00:00:00,Besluit van de Vlaamse Regering,,,,
1002077,14,"betreffende het verlof dat aan de personeelsleden van het onderwijs en de psycho-medisch-sociale centra wordt verleend voor het verrichten van bepaalde prestaties ten behoeve van in de wetgevende vergaderingen van de Staat en van de Gemeenschappen of de Gewesten erkende politieke groepen, respectievelijk ten behoeve van de voorzitters van die groepen",1991-12-19T00:00:00,Besluit van de Vlaamse Regering,,,,
1002077,14,"betreffende het verlof dat aan de personeelsleden van het onderwijs en de psycho-medisch-sociale centra wordt verleend voor het verrichten van bepaalde prestaties ten behoeve van in de wetgevende vergaderingen van de Staat en van de Gemeenschappen of de Gewesten erkende politieke groepen, respectievelijk ten behoeve van de voorzitters van die groepen",1991-12-19,Besluit van de Vlaamse Regering,,1991.0,12.0,19.0
1002077,14,"betreffende het verlof dat aan de personeelsleden van het onderwijs en de psycho-medisch-sociale centra wordt verleend voor het verrichten van bepaalde prestaties ten behoeve van in de wetgevende vergaderingen van de Staat en van de Gemeenschappen of de Gewesten erkende politieke groepen, respectievelijk ten behoeve van de voorzitters van die groepen",1991-12-19,Besluit van de Vlaamse Regering,,1991.0,12.0,19.0
1002077,14,"betreffende het verlof dat aan de personeelsleden van het onderwijs en de psycho-medisch-sociale centra wordt verleend voor het verrichten van bepaalde prestaties ten behoeve van in de wetgevende vergaderingen van de Staat en van de Gemeenschappen of de Gewesten erkende politieke groepen, respectievelijk ten behoeve van de voorzitters van die groepen",1991-12-19,Besluit van de Vlaamse Regering,,1991.0,12.0,19.0
1002077,14,"betreffende het verlof dat aan de personeelsleden van het onderwijs en de psycho-medisch-sociale centra wordt verleend voor het verrichten van bepaalde prestaties ten behoeve van in de wetgevende vergaderingen van de Staat en van de Gemeenschappen of de Gewesten erkende politieke groepen, respectievelijk ten behoeve van de voorzitters van die groepen",1991-12-19,Besluit van de Vlaamse Regering,,1991.0,12.0,19.0
1002077,14,"betreffende het verlof dat aan de personeelsleden van het onderwijs en de psycho-medisch-sociale centra wordt verleend voor het verrichten van bepaalde prestaties ten behoeve van in de wetgevende vergaderingen van de Staat en van de Gemeenschappen of de Gewesten erkende politieke groepen, respectievelijk ten behoeve van de voorzitters van die groepen",1991-12-19,Besluit van de Vlaamse Regering,,1991.0,12.0,19.0
