article_id,article_v_id,rel
1064807,1064807.0,version
1016040,1016040.0,version
1035169,1035169.0,version
1001469,1001469.0,version
1056951,1056951.0,version
1056955,1056955.0,version
1056960,1056960.0,version
1056961,1056961.0,version
1056966,1056966.0,version
1056972,1056972.0,version
1056975,1056975.0,version
1056976,1056976.0,version
1056977,1056977.0,version
1056978,1056978.0,version
1056979,1056979.0,version
1056980,1056980.0,version
1056981,1056981.0,version
1056982,1056982.0,version
1056983,1056983.0,version
1056984,1056984.0,version
1056985,1056985.0,version
1056986,1056986.0,version
1056987,1056987.0,version
1056988,1056988.0,version
1125747,1156646.0,version
1125748,1156647.0,version
1125749,1156649.0,version
1125751,1156652.0,version
1125752,1156653.0,version
1125753,1156654.0,version
1125754,1156655.0,version
1125755,1156656.0,version
1221085,1306776.0,version
1258821,1372165.0,version
1331643,1490550.0,version
1331644,1490551.0,version
1331645,1490552.0,version
1331646,1490555.0,version
1331647,1490556.0,version
1331648,1490557.0,version
1331649,1490558.0,version
1331650,1490569.0,version
1331651,1490573.0,version
1331652,1490581.0,version
1331653,1490582.0,version
1331654,1490583.0,version
1331655,1490584.0,version
1331656,1490585.0,version
1331657,1490586.0,version
1331658,1490587.0,version
1331659,1490588.0,version
1331664,1490594.0,version
1178258,1238901.0,version
1178259,1238902.0,version
1178260,1238903.0,version
1178261,1238904.0,version
1178262,1238905.0,version
1178263,1238906.0,version
1178264,1238907.0,version
1228291,1320869.0,version
1228292,1320870.0,version
1228293,1320871.0,version
1228294,1320872.0,version
1228295,1320873.0,version
1228296,1320874.0,version
1228297,1320875.0,version
1228298,1320876.0,version
1228299,1320877.0,version
1228300,1320878.0,version
1228301,1320879.0,version
1228302,1320880.0,version
1228303,1320881.0,version
1228307,1320882.0,version
1228308,1320883.0,version
1228309,1320884.0,version
1331549,1490344.0,version
1331550,1490345.0,version
1331551,1490346.0,version
1331552,1490347.0,version
1331553,1490348.0,version
1331554,1490349.0,version
1331555,1490350.0,version
1331556,1490351.0,version
1331557,1490352.0,version
1331558,1490353.0,version
1331559,1490354.0,version
1331560,1490355.0,version
1331561,1490356.0,version
1331562,1490357.0,version
1331563,1490358.0,version
1331564,1490359.0,version
1331565,1490360.0,version
1331566,1490361.0,version
1331567,1490362.0,version
1331568,1490363.0,version
1331569,1490364.0,version
1331570,1490365.0,version
1331571,1490366.0,version
1331572,1490367.0,version
1331573,1490368.0,version
1331574,1490369.0,version
1331575,1490370.0,version
1331576,1490371.0,version
1331577,1490372.0,version
1331578,1490373.0,version
1331579,1490374.0,version
1331580,1490375.0,version
1331581,1490376.0,version
1331582,1490377.0,version
1331583,1490378.0,version
1331584,1490379.0,version
1331585,1490380.0,version
1331586,1490381.0,version
1331587,1490382.0,version
1331588,1490383.0,version
1331589,1490384.0,version
1331590,1490385.0,version
1331591,1490386.0,version
1331592,1490387.0,version
1331593,1490388.0,version
1331594,1490389.0,version
1331595,1490390.0,version
1331596,1490391.0,version
1331597,1490392.0,version
1331598,1490393.0,version
1331599,1490394.0,version
1331600,1490395.0,version
1331601,1490396.0,version
1331602,1490397.0,version
1331603,1490398.0,version
1331604,1490399.0,version
1331605,1490400.0,version
1331606,1490401.0,version
1331607,1490402.0,version
1331608,1490403.0,version
1331609,1490404.0,version
1331610,1490405.0,version
1331611,1490406.0,version
1331612,1490407.0,version
1331613,1490408.0,version
1331614,1490409.0,version
1331615,1490410.0,version
1331616,1490411.0,version
1331617,1490412.0,version
1331618,1490413.0,version
1331619,1490414.0,version
1331620,1490415.0,version
1331621,1490416.0,version
1331622,1490417.0,version
1331623,1490418.0,version
1331624,1490419.0,version
1331625,1490420.0,version
1331626,1490421.0,version
1331627,1490422.0,version
1331628,1490423.0,version
1331629,1490426.0,version
1331630,1490424.0,version
1331631,1490425.0,version
1331632,1490427.0,version
1331633,1490428.0,version
1331634,1490429.0,version
1331635,1490430.0,version
1039626,1039626.0,version
1153777,1199084.0,version
1154054,1199572.0,version
1154055,1199588.0,version
1154056,1199589.0,version
1154058,1199592.0,version
1154064,1199598.0,version
1154068,1199605.0,version
1154069,1199606.0,version
1154070,1199607.0,version
1154071,1199608.0,version
1154072,1199609.0,version
1154073,1199610.0,version
1154075,1199612.0,version
1154076,1199613.0,version
1154077,1199614.0,version
1154078,1199615.0,version
1154079,1199616.0,version
1030474,1030474.0,version
1114453,1140256.0,version
1114454,1140257.0,version
1114455,1140258.0,version
1114456,1140259.0,version
1114457,1140261.0,version
1114458,1140262.0,version
1114459,1140263.0,version
1114460,1140264.0,version
1114461,1140267.0,version
1114462,1140268.0,version
1114463,1140269.0,version
1114464,1140272.0,version
1114465,1140273.0,version
1114466,1140274.0,version
1114467,1140275.0,version
1114468,1140276.0,version
1114469,1140277.0,version
1114470,1140278.0,version
1114471,1140279.0,version
1114472,1140280.0,version
1114473,1140281.0,version
1114474,1140282.0,version
1114475,1140283.0,version
1114476,1140285.0,version
1114477,1140286.0,version
1114478,1140287.0,version
1114479,1140288.0,version
1114480,1140289.0,version
1114481,1140290.0,version
1114482,1140292.0,version
1114483,1140293.0,version
1114484,1140295.0,version
1114485,1140296.0,version
1114486,1140297.0,version
1114487,1140306.0,version
1114488,1140307.0,version
1114489,1140308.0,version
1114490,1140309.0,version
1114491,1140310.0,version
1114492,1140312.0,version
1114493,1140317.0,version
1114494,1140318.0,version
1114495,1140298.0,version
1114496,1140299.0,version
1114497,1140300.0,version
1114498,1140301.0,version
1114499,1140302.0,version
1114500,1140303.0,version
1114501,1140304.0,version
1114502,1140320.0,version
1114503,1140321.0,version
1114504,1140323.0,version
1114505,1140324.0,version
1114506,1140325.0,version
1114507,1140327.0,version
1114508,1140328.0,version
1114509,1140329.0,version
1114510,1140331.0,version
1114511,1140332.0,version
1114512,1140333.0,version
1114513,1140334.0,version
1114514,1140336.0,version
1114515,1140337.0,version
1114516,1140338.0,version
1114517,1140339.0,version
1114518,1140340.0,version
1114519,1140341.0,version
1114520,1140342.0,version
1114521,1140343.0,version
1114522,1140344.0,version
1114523,1140345.0,version
1114524,1140346.0,version
1114525,1140347.0,version
1114526,1140348.0,version
1114527,1140349.0,version
1114528,1140350.0,version
1114529,1140351.0,version
1114530,1140352.0,version
1114531,1140353.0,version
1114532,1140354.0,version
1114533,1140355.0,version
1114534,1140356.0,version
1114535,1140357.0,version
1114536,1140358.0,version
1114537,1140359.0,version
