art_v_id,startdate,enddate,title
1015859,1990-01-01T00:00:00,,houdende nadere regelen betreffende de milieuheffingen ter bescherming van de oppervlaktewateren tegen verontreiniging
1015860,1990-01-01T00:00:00,,houdende nadere regelen betreffende de milieuheffingen ter bescherming van de oppervlaktewateren tegen verontreiniging
1015861,1990-01-01T00:00:00,,houdende nadere regelen betreffende de milieuheffingen ter bescherming van de oppervlaktewateren tegen verontreiniging
1015862,1990-01-01T00:00:00,,houdende nadere regelen betreffende de milieuheffingen ter bescherming van de oppervlaktewateren tegen verontreiniging
1241249,2014-08-01T00:00:00,2020-12-31T00:00:00,tot bepaling van de nadere regels met betrekking tot de beheeraspecten van sociale huisvestingsmaatschappijen en tot wijziging van het besluit van de Vlaamse Regering van 22 oktober 2010 tot vaststelling van de aanvullende voorwaarden en de procedure voor de erkenning als sociale huisvestingsmaatschappij en tot vaststelling van de procedure voor de beoordeling van de prestaties van sociale huisvestingsmaatschappijen
1016212,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016227,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016228,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016229,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016231,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016232,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016234,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016243,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016247,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016251,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016253,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016255,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016256,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016257,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1016260,1995-08-01T00:00:00,,houdende algemene en sectorale bepalingen inzake milieuhygiëne
1049065,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049066,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049067,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049068,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049069,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049070,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049071,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049072,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049073,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049074,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049075,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049076,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049077,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049078,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049079,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049080,,,"tussen de Vlaamse regering en de Regering van de Republiek Bulgarije, ondertekend te Sofia op 18 mei 2001 - uitwisseling van de ratificatie-instrumenten"
1049081,,,"tussen de Regering van de Tsjechische Republiek en de Vlaamse regering, ondertekend in Praag op 12 februari 2002 - uitwisseling van ratificatie-instrumenten"
1049082,,,"tussen de Regering van de Tsjechische Republiek en de Vlaamse regering, ondertekend in Praag op 12 februari 2002 - uitwisseling van ratificatie-instrumenten"
1049083,,,"tussen de Regering van de Tsjechische Republiek en de Vlaamse regering, ondertekend in Praag op 12 februari 2002 - uitwisseling van ratificatie-instrumenten"
1049084,,,"tussen de Regering van de Tsjechische Republiek en de Vlaamse regering, ondertekend in Praag op 12 februari 2002 - uitwisseling van ratificatie-instrumenten"
1049085,,,"tussen de Regering van de Tsjechische Republiek en de Vlaamse regering, ondertekend in Praag op 12 februari 2002 - uitwisseling van ratificatie-instrumenten"
1049086,,,"tussen de Regering van de Tsjechische Republiek en de Vlaamse regering, ondertekend in Praag op 12 februari 2002 - uitwisseling van ratificatie-instrumenten"
1049087,,,"tussen de Regering van de Tsjechische Republiek en de Vlaamse regering, ondertekend in Praag op 12 februari 2002 - uitwisseling van ratificatie-instrumenten"
1049088,,,"tussen de Regering van de Tsjechische Republiek en de Vlaamse regering, ondertekend in Praag op 12 februari 2002 - uitwisseling van ratificatie-instrumenten"
