article_id,article_v_id,rel
1000001,1015859.0,version
1000002,1015860.0,version
1000003,1015861.0,version
1000004,1015862.0,version
1000005,1241249.0,version
1128728,1016212.0,version
1128743,1016227.0,version
1128744,1016228.0,version
1128745,1016229.0,version
1128747,1016231.0,version
1128748,1016232.0,version
1128750,1016234.0,version
1128759,1016243.0,version
1128763,1016247.0,version
1128767,1016251.0,version
1128769,1016253.0,version
1128770,1016255.0,version
1128771,1016256.0,version
1128772,1016257.0,version
1128775,1016260.0,version
1146598,1049065.0,version
1146599,1049066.0,version
1146600,1049067.0,version
1146601,1049068.0,version
1146602,1049069.0,version
1146603,1049070.0,version
1146604,1049071.0,version
1146605,1049072.0,version
1021573,1049073.0,version
1040634,1049074.0,version
1040635,1049075.0,version
1041852,1049076.0,version
1041853,1049077.0,version
1041854,1049078.0,version
1041855,1049079.0,version
1085947,1049080.0,version
1085948,1049081.0,version
1085949,1049082.0,version
1101984,1049083.0,version
1101985,1049084.0,version
1101986,1049085.0,version
1101987,1049086.0,version
1147785,1049087.0,version
1147786,1049088.0,version
1147787,1049089.0,version
1147788,1049090.0,version
1147789,1049091.0,version
1147790,1049092.0,version
1147791,1049093.0,version
1147792,1049094.0,version
1147793,1049095.0,version
1061664,1016340.0,version
1124113,1016341.0,version
1163904,1016363.0,version
1000010,1016366.0,version
1000017,1016378.0,version
1008835,1016418.0,version
1008841,1016424.0,version
1008854,1016438.0,version
1008856,1016440.0,version
1008859,1016443.0,version
1008860,1016444.0,version
1008866,1016449.0,version
1008867,1016450.0,version
1008868,1016451.0,version
1008869,1016452.0,version
1008871,1016454.0,version
1008873,1016456.0,version
1008874,1016457.0,version
1008876,1016458.0,version
1008877,1016459.0,version
1021874,1016468.0,version
1021885,1016481.0,version
1000029,1016536.0,version
1000030,1016537.0,version
1000032,1016539.0,version
1000034,1016541.0,version
1008849,1016568.0,version
1008858,1016577.0,version
1008861,1016580.0,version
1008863,1016582.0,version
1008864,1016583.0,version
1008865,1016584.0,version
1008868,1016587.0,version
1008869,1016588.0,version
1008871,1016590.0,version
1008878,1016597.0,version
1008880,1123317.0,version
1008883,1016602.0,version
1008886,1016605.0,version
1021875,1016607.0,version
1021882,1016614.0,version
1021911,1016634.0,version
1054306,1016644.0,version
1054308,1016646.0,version
1054312,1016650.0,version
1054315,1016653.0,version
1000014,1016665.0,version
1000015,1016666.0,version
1000033,1016676.0,version
1000034,1016677.0,version
1008827,1016681.0,version
1008837,1016691.0,version
1008842,1016696.0,version
1008851,1189156.0,version
1008852,1189157.0,version
1008853,1189158.0,version
1008854,1189159.0,version
1008855,1189160.0,version
1008857,1189162.0,version
1008858,1189163.0,version
1008859,1189164.0,version
1008860,1189165.0,version
1008861,1189166.0,version
1008862,1189167.0,version
