id,about,date,type,year,month,day
1000001,houdende regeling van het taalgebruik bij de verkiezingen,1994-05-18,Decreet,1994,5,18
1000236,"tot regeling van het gebruik van de talen voor de sociale betrekkingen tussen de werkgevers en de werknemers, alsmede van de door de wet en de verordeningen voorgeschreven akten en bescheiden van de ondernemingen",1973-07-19,Decreet,1973,7,19
1001111,op het gebruik van de talen in bestuurszaken,1966-07-18,Gecoördineerde Wet,1966,7,18
1001112,op het gebruik van de talen in bestuurszaken,1963-08-02,Wet,1963,8,2
1005240,RLI/II/202 betreffende het gebruik van de talen in bestuurszaken in het Nederlands taalgebied,1987-12-23,Omzendbrief,1987,12,23
1009085,houdende wijziging van artikel 49 van de bij koninklijk besluit van 18 juli 1966 gecoördineerde wetten op het gebruik van talen in bestuurszaken,1982-06-16,Decreet,1982,6,16
1009419,houdende aanvulling van de artikelen 12 en 33 van de bij koninklijk besluit van 16 juli 1966 gecoördineerde wetten op het gebruik van de talen in bestuurszaken wat betreft het gebruik van de talen in de betrekkingen tussen de bestuursdiensten van het Nederlandse taalgebied en de particulieren,1981-06-30,Decreet,1981,6,30
1011834,betreffende het bewijs van de kennis van het Nederlands in de arbeidsgeneeskundige diensten,1975-05-07,Decreet,1975,5,7
1012334,"betreffende de officiële benaming van de taal gebruikt door de [Vlaamse Gemeenschap (verv. Decr. 23 juni 2006, art. 6, I: 30 oktober 2006)]",1973-12-10,Decreet,1973,12,10
1012466,houdende taalregeling in het onderwijs,1963-07-30,Wet,1963,7,30
1012479,"tot regeling van het taalgebruik in de gemeenteraden, de federatieraden, de agglomeratieraden, de provincieraden, de colleges van burgemeester en schepenen, de federatiecolleges, de agglomeratiecolleges, de bestendige deputaties, de aan de gemeenten en provincies ondergeschikte besturen en intercommunale verenigingen",1972-12-06,Decreet,1972,12,6
1012595,tot regeling van het gebruik van de Nederlandse taal bij de eedaflegging,1972-05-03,Decreet,1972,5,3
1013909,BA-2005/03 betreffende het taalgebruik in de gemeente- en O.C.M.W.-besturen en in de intergemeentelijke samenwerkingsverbanden-interpretatie en gevolgen van de arresten van de Raad van State van 23 december 2004,2005-07-08,Omzendbrief,2005,7,8
1019016,"BB 2010/03 betreffende ""Verbod op registratie van taalvoorkeur""",2010-05-07,Omzendbrief,2010,5,7
1021084,"tot regeling van het bewijs van taalkennis, vereist door de wetten op het gebruik van de talen in bestuurszaken, gecoördineerd op 18 juli 1966 ",2011-11-18,Decreet,2011,11,18
1022939,"houdende uitvoering van het decreet van 18 november 2011 tot regeling van het bewijs van taalkennis, vereist door de wetten op het gebruik van de talen in bestuurszaken, gecoördineerd op 18 juli 1966",2013-05-03,Besluit van de Vlaamse Regering,2013,5,3
1000003,"betreffende het Vlaams Fonds voor de promotie van de produkten van de landbouw, tuinbouw en zeevisserij",1994-03-16,Besluit van de Vlaamse Regering,1994,3,16
1001611,houdende bepalingen tot begeleiding van de begroting 1995,1994-12-21,Decreet,1994,12,21
1005333,"betreffende de verplichte bijdragen bestemd voor de promotie en afzetbevordering van de Vlaamse producten van de sectoren landbouw, tuinbouw en visserij",1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005340,houdende erkenningsvoorwaarden voor een Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005341,houdende erkenning tot Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1000003,"betreffende het Vlaams Fonds voor de promotie van de produkten van de landbouw, tuinbouw en zeevisserij",1994-03-16,Besluit van de Vlaamse Regering,1994,3,16
1001611,houdende bepalingen tot begeleiding van de begroting 1995,1994-12-21,Decreet,1994,12,21
1005333,"betreffende de verplichte bijdragen bestemd voor de promotie en afzetbevordering van de Vlaamse producten van de sectoren landbouw, tuinbouw en visserij",1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005340,houdende erkenningsvoorwaarden voor een Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005341,houdende erkenning tot Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1013053,"tot oprichting van het privaatrechtelijk vormgegeven extern verzelfstandigd agentschap ""Vlaams Centrum voor Agro- en Visserijmarketing""",2004-05-07,Decreet,2004,5,7
1000003,"betreffende het Vlaams Fonds voor de promotie van de produkten van de landbouw, tuinbouw en zeevisserij",1994-03-16,Besluit van de Vlaamse Regering,1994,3,16
1001611,houdende bepalingen tot begeleiding van de begroting 1995,1994-12-21,Decreet,1994,12,21
1005333,"betreffende de verplichte bijdragen bestemd voor de promotie en afzetbevordering van de Vlaamse producten van de sectoren landbouw, tuinbouw en visserij",1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005340,houdende erkenningsvoorwaarden voor een Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005341,houdende erkenning tot Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1013053,"tot oprichting van het privaatrechtelijk vormgegeven extern verzelfstandigd agentschap ""Vlaams Centrum voor Agro- en Visserijmarketing""",2004-05-07,Decreet,2004,5,7
1000003,"betreffende het Vlaams Fonds voor de promotie van de produkten van de landbouw, tuinbouw en zeevisserij",1994-03-16,Besluit van de Vlaamse Regering,1994,3,16
1001611,houdende bepalingen tot begeleiding van de begroting 1995,1994-12-21,Decreet,1994,12,21
1005333,"betreffende de verplichte bijdragen bestemd voor de promotie en afzetbevordering van de Vlaamse producten van de sectoren landbouw, tuinbouw en visserij",1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005340,houdende erkenningsvoorwaarden voor een Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005341,houdende erkenning tot Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1013053,"tot oprichting van het privaatrechtelijk vormgegeven extern verzelfstandigd agentschap ""Vlaams Centrum voor Agro- en Visserijmarketing""",2004-05-07,Decreet,2004,5,7
1000003,"betreffende het Vlaams Fonds voor de promotie van de produkten van de landbouw, tuinbouw en zeevisserij",1994-03-16,Besluit van de Vlaamse Regering,1994,3,16
1001611,houdende bepalingen tot begeleiding van de begroting 1995,1994-12-21,Decreet,1994,12,21
1005333,"betreffende de verplichte bijdragen bestemd voor de promotie en afzetbevordering van de Vlaamse producten van de sectoren landbouw, tuinbouw en visserij",1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005340,houdende erkenningsvoorwaarden voor een Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1005341,houdende erkenning tot Vlaams Promotiecentrum voor Agro- en Visserijmarketing,1997-02-04,Besluit van de Vlaamse Regering,1997,2,4
1013053,"tot oprichting van het privaatrechtelijk vormgegeven extern verzelfstandigd agentschap ""Vlaams Centrum voor Agro- en Visserijmarketing""",2004-05-07,Decreet,2004,5,7
1000005,betreffende het georganiseerd vrijwilligerswerk in de welzijns- en gezondheidssector,1994-03-23,Decreet,1994,3,23
1001036,tot uitvoering van het decreet van 23 maart 1994 betreffende het georganiseerd vrijwilligerswerk in de welzijns- en gezondheidssector,1994-07-06,Besluit van de Vlaamse Regering,1994,7,6
1017373,tot uitvoering van het decreet van 23 maart 1994 betreffende het georganiseerd vrijwilligerswerk in de welzijns- en gezondheidssector,2008-05-30,Besluit van de Vlaamse Regering,2008,5,30
1018360,"betreffende het georganiseerde vrijwilligerswerk in het beleidsdomein Welzijn, Volksgezondheid en Gezin",2009-04-03,Decreet,2009,4,3
1018867,houdende de algemene bepalingen die van toepassing zijn op de erkende organisaties voor autonoom vrijwilligerswerk en de organisaties met ingebouwd vrijwilligerswerk,2010-02-26,Besluit van de Vlaamse Regering,2010,2,26
1018875,tot regeling van de erkenning en de subsidiëring van organisaties voor autonoom vrijwilligerswerk,2010-02-26,Besluit van de Vlaamse Regering,2010,2,26
1031660,"betreffende de regels voor de erkenning en de subsidiëring van groepsgericht aanbod opvoedingsondersteuning door vrijwilligers, gericht op gezinnen met kinderen of jongeren met specifieke ondersteuningsbehoeften",2019-03-22,Ministerieel besluit,2019,3,22
1033728,tot vaststelling van de voorwaarden voor verenigingswerk en vrijwilligerswerk binnen de diensten van de Vlaamse overheid,2020-09-18,Besluit van de Vlaamse Regering,2020,9,18
1036724,tot intrekking van de erkenning als autonome vrijwilligersorganisatie,2022-01-28,Besluit van de secretaris-generaal,2022,1,28
1038563,over het gecoördineerd Vlaams vrijwilligersbeleid,2023-06-23,Decreet,2023,6,23
1038822,tot uitvoering van het decreet van 23 juni 2023 over het gecoördineerd Vlaams vrijwilligersbeleid,2023-09-08,Besluit van de Vlaamse Regering,2023,9,8
1000008,"houdende de aanwending van de extra kredieten goedgekeurd in het kader van de Vlaamse tewerkstellingsconferentie voor de ondersteuning van de renovatie van het huurwoningpatrimonium van de sociale huisvestingsmaatschappijen, erkend door de Vlaamse Huisvestingsmaatschappij",1994-02-02,Besluit van de Vlaamse Regering,1994,2,2
1002869,[houdende vaststelling van de typehuurovereenkomst van de woningen die toebehoren aan de erkende sociale huisvestingsmaatschappijen of aan de Vlaamse Maatschappij voor Sociaal Wonen],1995-04-06,Besluit van de Vlaamse Regering,1995,4,6
1004445,"betreffende de procedure voor de goedkeuring van verbintenissenmachtigingen, leningsmachtigingen en leningen ten behoeve van de huisvestingsmaatschappijen en het Vlaams Woningfonds",1989-02-24,Omzendbrief,1989,2,24
1004855,[betreffende de huurlasten van de woningen die aan de erkende sociale huisvestingsmaatschappijen of aan de Vlaamse Maatschappij voor Sociaal Wonen toebehoren],1985-01-25,Besluit van de Vlaamse Regering,1985,1,25
