ID,cluster,about,date,type,link,year,month,day
1004636,0,houdende tijdelijke beperking inzake programmatie en benoeming in sommige onderwijssectoren,1996-04-16,Decreet,,1996.0,4.0,16.0
1006464,1,houdende diverse bepalingen naar aanleiding van de begrotingscontrole 1998,1998-12-08,Decreet,,1998.0,12.0,8.0
1000312,3,houdende de vaststelling van de salarisschalen voor de personeelsleden tewerkgesteld in de erkende voorzieningen bijzondere jeugdbijstand,1993-12-24,Ministerieel besluit,,1993.0,12.0,24.0
1001262,9,"tot uitvoering van het decreet van 3 maart 1993 houdende regeling tot erkenning van de outplacement-, wervings- en selectiebureaus in het Vlaamse Gewest",1993-06-09,Besluit van de Vlaamse Regering,,1993.0,6.0,9.0
1017294,13,houdende organisatie van het experimenteel buitengewoon secundair onderwijs volgens een modulair stelsel,2008-09-05,Besluit van de Vlaamse Regering,,2008.0,9.0,5.0
1024571,18,"houdende de voorwaarden voor erkenning en attest van toezicht en het kwaliteitsbeleid voor buitenschoolse gezinsopvang en groepsopvang [Citeeropschrift: ""Kwaliteitsbesluit Buitenschoolse Opvang van 16 mei 2014""]",2014-05-16,Besluit van de Vlaamse Regering,,2014.0,5.0,16.0
1022421,23,"betreffende de ondernemerschapstrajecten, vermeld in artikel 26, § 1, 2°, en artikel 31 van het decreet van 7 mei 2004 tot oprichting van het publiekrechtelijk vormgegeven extern verzelfstandigd agentschap ""Vlaams Agentschap voor Ondernemersvorming - Syntra Vlaanderen""",2012-09-14,Besluit van de Vlaamse Regering,,2012.0,9.0,14.0
1018360,37,"betreffende het georganiseerde vrijwilligerswerk in het beleidsdomein Welzijn, Volksgezondheid en Gezin",2009-04-03,Decreet,,2009.0,4.0,3.0
1004855,38,[betreffende de huurlasten van de woningen die aan de erkende sociale huisvestingsmaatschappijen of aan de Vlaamse Maatschappij voor Sociaal Wonen toebehoren],1985-01-25,Besluit van de Vlaamse Regering,,1985.0,1.0,25.0
1001390,50,betreffende de vorm van de diploma's waarbij een academische graad wordt toegekend,1992-12-02,Besluit van de Vlaamse Regering,,1992.0,12.0,2.0
1018061,51,"betreffende het Centraal Referentieadressenbestand (citeeropschrift: ""CRAB-decreet"")",2009-05-08,Decreet,,2009.0,5.0,8.0
1013340,52,"betreffende de erkenning en de financiële ondersteuning van verenigingen in het kader van ""Toerisme voor Allen",2004-05-28,Besluit van de Vlaamse Regering,,2004.0,5.0,28.0
1013317,53,betreffende participatie op school en de Vlaamse Onderwijsraad,2004-04-02,Decreet,,2004.0,4.0,2.0
1025735,67,houdende de erkenning van de inventarisatie van de bedrijventerreinen op perceelsniveau in het Vlaamse Gewest als authentieke geografische gegevensbron,2015-04-24,Besluit van de Vlaamse Regering,,2015.0,4.0,24.0
1000252,76,"[betreffende de bekwaamheidsbewijzen, de salarisschalen en de bezoldigingsregeling in het gewoon basisonderwijs]",1990-06-27,Besluit van de Vlaamse Regering,,1990.0,6.0,27.0
1008064,80,tot bepaling van sommige gegevens die de centra voor leerlingenbegeleiding moeten registreren,2001-06-22,Ministerieel besluit,,2001.0,6.0,22.0
1007872,85,houdende de vaststelling van de criteria van toekenning van onderhoudstoelagen aan centra of diensten voor revalidatie,2001-01-19,Besluit van de Vlaamse Regering,,2001.0,1.0,19.0
