ID,cluster,key_id,rel,key_name
1004636,0,1000041,keyword,onderwijspersoneel
1004636,0,1000042,keyword,personeel onderwijs
1004636,0,1000043,keyword,personeel psycho-medisch-sociaal centrum
1004636,0,1000044,keyword,reaffectatie
1004636,0,1000045,keyword,terbeschikkingstelling ontstentenis van betrekking
1004636,0,1000046,keyword,wachtgeld
1004636,0,1000047,keyword,wedertewerkstelling
1004636,0,1000048,keyword,statuut onderwijspersoneel
1004636,0,1000130,keyword,beroepsonderwijs
1004636,0,1000163,keyword,buitengewoon onderwijs
1004636,0,1000165,keyword,kunstonderwijs
1006464,1,1000152,keyword,"Vlaams Commissariaat-Generaal Bevordering Lichamelijke Ontwikkeling, Sport en Openluchtrecreatie"
1006464,1,1000153,keyword,BLOSO
1006464,1,1000194,keyword,monument
1000312,2,1000156,keyword,bijzondere jeugdbijstand
1001262,7,1000055,keyword,"erkenningscommissie inzake outplacement, werving en selectie"
1001262,7,1000056,keyword,arbeidsplaatsen
1001262,7,1000057,keyword,tewerkstelling
1001262,7,1000058,keyword,arbeidsvergunning
1001262,7,1000059,keyword,werkgelegenheid
1001262,7,1000060,keyword,selectiebureau
1001262,7,1000061,keyword,wervingsbureau
1001262,7,1000062,keyword,outplacement
1017294,10,1000131,keyword,secundair onderwijs
1017294,10,1000163,keyword,buitengewoon onderwijs
1024571,2,1000189,keyword,kinderopvang
1022421,14,1000089,keyword,ondernemersopleiding
1018360,1,1000007,keyword,vrijwilligerswerk
1004855,22,1000008,keyword,huisvestingsmaatschappij
1004855,22,1000009,keyword,huisvesting
1004855,22,1000077,keyword,Vlaamse Huisvestingsmaatschappij
1001390,0,1000160,keyword,diploma
1001390,0,1000161,keyword,getuigschrift
1001390,0,1000162,keyword,bekwaamheidsbewijs
1018061,1,1000159,keyword,Geografisch Informatiesysteem
1013340,26,1000146,keyword,Toerisme Vlaanderen
1013317,0,1000179,keyword,basisonderwijs
1025735,11,1000159,keyword,Geografisch Informatiesysteem
1000252,6,1000041,keyword,onderwijspersoneel
1000252,6,1000042,keyword,personeel onderwijs
1000252,6,1000043,keyword,personeel psycho-medisch-sociaal centrum
1000252,6,1000044,keyword,reaffectatie
1000252,6,1000045,keyword,terbeschikkingstelling ontstentenis van betrekking
1000252,6,1000046,keyword,wachtgeld
1000252,6,1000047,keyword,wedertewerkstelling
1000252,6,1000048,keyword,statuut onderwijspersoneel
1000252,6,1000160,keyword,diploma
1000252,6,1000161,keyword,getuigschrift
1000252,6,1000162,keyword,bekwaamheidsbewijs
1008064,33,1000185,keyword,leerlingenbegeleiding
1008064,33,1000186,keyword,centrum voor leerlingenbegeleiding
1007872,8,1000065,keyword,gehandicapten
